"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"201","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,2,1,1,1,1,0,1,3,0,4,3,5,3,3,1,1,3,0,0,1,3,3,2,0,1,2,1,0,2,2,0,0,0,1,1,0,2,1],""bins"":[0.000020877121642115526,0.000029268915369584647,0.00003766070909705377,0.00004605250282452289,0.00005444429655199201,0.00006283609027946113,0.00007122788400693025,0.00007961967773439937,0.0000880114714618685,0.00009640326518933762,0.00010479505891680674,0.00011318685264427586,0.00012157864637174498,0.0001299704400992141,0.00013836223382668322,0.00014675402755415234,0.00015514582128162147,0.0001635376150090906,0.0001719294087365597,0.00018032120246402883,0.00018871299619149795,0.00019710478991896707,0.0002054965836464362,0.00021388837737390531,0.00022228017110137444,0.00023067196482884356,0.00023906375855631268,0.0002474555522837818,0.0002558473460112509,0.00026423913973872004,0.00027263093346618916,0.0002810227271936583,0.0002894145209211274,0.0002978063146485965,0.00030619810837606565,0.00031458990210353477,0.0003229816958310039,0.000331373489558473,0.00033976528328594213,0.00034815707701341125,0.0003565488707408804,0.0003649406644683495,0.0003733324581958186,0.00038172425192328774,0.00039011604565075686,0.000398507839378226,0.0004068996331056951,0.0004152914268331642,0.00042368322056063334,0.00043207501428810247,0.0004404668080155716,0.0004488586017430407,0.00045725039547050983,0.00046564218919797895,0.00047403398292544807,0.0004824257766529172,0.0004908175703803863,0.0004992093641078554,0.0005076011578353246,0.0005159929515627937,0.0005243847452902628,0.0005327765390177319,0.000541168332745201,0.0005495601264726702,0.0005579519202001393]}"
"202","{""values"":[1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,0,1,0,1,1,2,0,0,2,1,2,3,2,1,2,2,4,3,0,3,2,0,0,3,1,2,3,1,3,0,3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1],""_type"":""histogram"",""bins"":[0.000027061700166086666,0.00004168823264194543,0.0000563147651178042,0.00007094129759366297,0.00008556783006952173,0.0001001943625453805,0.00011482089502123927,0.00012944742749709803,0.0001440739599729568,0.00015870049244881557,0.00017332702492467433,0.0001879535574005331,0.00020258008987639187,0.00021720662235225063,0.0002318331548281094,0.00024645968730396817,0.00026108621977982693,0.0002757127522556857,0.00029033928473154447,0.00030496581720740323,0.000319592349683262,0.00033421888215912077,0.00034884541463497953,0.0003634719471108383,0.00037809847958669707,0.00039272501206255583,0.0004073515445384146,0.00042197807701427337,0.00043660460949013213,0.0004512311419659909,0.00046585767444184967,0.00048048420691770843,0.0004951107393935672,0.000509737271869426,0.0005243638043452847,0.0005389903368211435,0.0005536168692970023,0.000568243401772861,0.0005828699342487198,0.0005974964667245786,0.0006121229992004373,0.0006267495316762961,0.0006413760641521549,0.0006560025966280136,0.0006706291291038724,0.0006852556615797312,0.0006998821940555899,0.0007145087265314487,0.0007291352590073075,0.0007437617914831662,0.000758388323959025,0.0007730148564348838,0.0007876413889107425,0.0008022679213866013,0.0008168944538624601,0.0008315209863383188,0.0008461475188141776,0.0008607740512900364,0.0008754005837658951,0.0008900271162417539,0.0009046536487176127,0.0009192801811934714,0.0009339067136693302,0.000948533246145189,0.0009631597786210477]}"
"203","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,1,0,1,0,1,0,0,1,2,1,0,0,1,0,0,0,2,0,2,0,0,1,3,4,1,0,2,5,2,4,4,5,2,0,0,1,1,1,4,3,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1],""bins"":[0.000022171734599396586,0.00003223327757950756,0.00004229482055961853,0.0000523563635397295,0.00006241790651984047,0.00007247944949995144,0.00008254099248006241,0.00009260253546017339,0.00010266407844028436,0.00011272562142039533,0.0001227871644005063,0.00013284870738061727,0.00014291025036072824,0.0001529717933408392,0.00016303333632095018,0.00017309487930106116,0.00018315642228117213,0.0001932179652612831,0.00020327950824139407,0.00021334105122150504,0.000223402594201616,0.00023346413718172698,0.00024352568016183795,0.0002535872231419489,0.0002636487661220599,0.00027371030910217087,0.00028377185208228184,0.0002938333950623928,0.0003038949380425038,0.00031395648102261475,0.0003240180240027257,0.0003340795669828367,0.00034414110996294767,0.00035420265294305864,0.0003642641959231696,0.0003743257389032806,0.00038438728188339155,0.0003944488248635025,0.0004045103678436135,0.00041457191082372447,0.00042463345380383544,0.0004346949967839464,0.0004447565397640574,0.00045481808274416835,0.0004648796257242793,0.0004749411687043903,0.00048500271168450126,0.0004950642546646122,0.0005051257976447232,0.0005151873406248342,0.0005252488836049451,0.0005353104265850561,0.0005453719695651671,0.0005554335125452781,0.000565495055525389,0.0005755565985055,0.000585618141485611,0.000595679684465722,0.0006057412274458329,0.0006158027704259439,0.0006258643134060549,0.0006359258563861658,0.0006459873993662768,0.0006560489423463878,0.0006661104853264987]}"
"204","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1,3,1,2,0,1,4,1,6,4,3,2,1,5,0,0,3,0,3,1,3,1,0,2,3,0,0,0,0,1,1,0,0,0,0,0,1],""bins"":[0.000025004148483276367,0.00003458727132965578,0.00004417039417603519,0.0000537535170224146,0.00006333663986879401,0.00007291976271517342,0.00008250288556155283,0.00009208600840793224,0.00010166913125431165,0.00011125225410069106,0.00012083537694707047,0.00013041849979344988,0.0001400016226398293,0.0001495847454862087,0.00015916786833258811,0.00016875099117896752,0.00017833411402534693,0.00018791723687172635,0.00019750035971810576,0.00020708348256448517,0.00021666660541086458,0.000226249728257244,0.0002358328511036234,0.0002454159739500028,0.0002549990967963822,0.00026458221964276163,0.00027416534248914104,0.00028374846533552045,0.00029333158818189986,0.00030291471102827927,0.0003124978338746587,0.0003220809567210381,0.0003316640795674175,0.0003412472024137969,0.0003508303252601763,0.00036041344810655573,0.00036999657095293514,0.00037957969379931455,0.00038916281664569397,0.0003987459394920734,0.0004083290623384528,0.0004179121851848322,0.0004274953080312116,0.000437078430877591,0.00044666155372397043,0.00045624467657034984,0.00046582779941672925,0.00047541092226310866,0.00048499404510948807,0.0004945771679558675,0.0005041602908022469,0.0005137434136486263,0.0005233265364950057,0.0005329096593413851,0.0005424927821877645,0.0005520759050341439,0.0005616590278805234,0.0005712421507269028,0.0005808252735732822,0.0005904083964196616,0.000599991519266041,0.0006095746421124204,0.0006191577649587998,0.0006287408878051792,0.0006383240106515586]}"
"205","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,2,2,2,0,3,1,0,0,0,0,3,2,2,3,0,5,5,2,1,1,2,3,1,2,4,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,2],""bins"":[0.0000242149817495374,0.00003417121095594666,0.000044127440162355924,0.000054083669368765186,0.00006403989857517445,0.00007399612778158371,0.00008395235698799297,0.00009390858619440223,0.0001038648154008115,0.00011382104460722076,0.00012377727381363002,0.00013373350302003928,0.00014368973222644854,0.0001536459614328578,0.00016360219063926706,0.00017355841984567633,0.0001835146490520856,0.00019347087825849485,0.0002034271074649041,0.00021338333667131337,0.00022333956587772263,0.0002332957950841319,0.00024325202429054116,0.0002532082534969504,0.0002631644827033597,0.00027312071190976894,0.0002830769411161782,0.00029303317032258747,0.00030298939952899673,0.000312945628735406,0.00032290185794181525,0.0003328580871482245,0.0003428143163546338,0.00035277054556104304,0.0003627267747674523,0.00037268300397386156,0.0003826392331802708,0.0003925954623866801,0.00040255169159308934,0.0004125079207994986,0.00042246415000590787,0.00043242037921231713,0.0004423766084187264,0.00045233283762513565,0.0004622890668315449,0.0004722452960379542,0.00048220152524436344,0.0004921577544507727,0.000502113983657182,0.0005120702128635912,0.0005220264420700005,0.0005319826712764097,0.000541938900482819,0.0005518951296892283,0.0005618513588956375,0.0005718075881020468,0.0005817638173084561,0.0005917200465148653,0.0006016762757212746,0.0006116325049276838,0.0006215887341340931,0.0006315449633405024,0.0006415011925469116,0.0006514574217533209,0.0006614136509597301]}"
"206","{""values"":[1,0,0,0,0,1,1,1,1,0,0,1,0,0,2,1,0,0,1,1,0,3,1,2,1,4,4,5,0,4,0,4,2,1,6,1,1,0,2,1,2,0,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000024160146494978108,0.00003801727584118453,0.00005187440518739095,0.00006573153453359737,0.00007958866387980379,0.00009344579322601021,0.00010730292257221663,0.00012116005191842305,0.00013501718126462947,0.0001488743106108359,0.0001627314399570423,0.00017658856930324873,0.00019044569864945515,0.00020430282799566157,0.000218159957341868,0.00023201708668807441,0.00024587421603428083,0.00025973134538048726,0.0002735884747266937,0.0002874456040729001,0.0003013027334191065,0.00031515986276531294,0.00032901699211151936,0.0003428741214577258,0.0003567312508039322,0.0003705883801501386,0.00038444550949634504,0.00039830263884255146,0.0004121597681887579,0.0004260168975349643,0.0004398740268811707,0.00045373115622737714,0.00046758828557358356,0.00048144541491979,0.0004953025442659964,0.0005091596736122028,0.0005230168029584092,0.0005368739323046157,0.0005507310616508221,0.0005645881909970285,0.0005784453203432349,0.0005923024496894413,0.0006061595790356478,0.0006200167083818542,0.0006338738377280606,0.000647730967074267,0.0006615880964204734,0.0006754452257666799,0.0006893023551128863,0.0007031594844590927,0.0007170166138052991,0.0007308737431515056,0.000744730872497712,0.0007585880018439184,0.0007724451311901248,0.0007863022605363312,0.0008001593898825377,0.0008140165192287441,0.0008278736485749505,0.0008417307779211569,0.0008555879072673633,0.0008694450366135698,0.0008833021659597762,0.0008971592953059826,0.000911016424652189]}"
"207","{""values"":[1,0,0,0,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,3,2,3,2,4,7,2,3,3,2,4,2,1,4,2,2,2,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000010726451364462264,0.00001802558014674105,0.000025324708929019835,0.00003262383771129862,0.000039922966493577405,0.00004722209527585619,0.000054521224058134976,0.00006182035284041376,0.00006911948162269255,0.00007641861040497133,0.00008371773918725012,0.0000910168679695289,0.00009831599675180769,0.00010561512553408647,0.00011291425431636526,0.00012021338309864404,0.00012751251188092283,0.00013481164066320162,0.0001421107694454804,0.00014940989822775919,0.00015670902701003797,0.00016400815579231676,0.00017130728457459554,0.00017860641335687433,0.0001859055421391531,0.0001932046709214319,0.00020050379970371068,0.00020780292848598947,0.00021510205726826825,0.00022240118605054704,0.00022970031483282582,0.0002369994436151046,0.0002442985723973834,0.0002515977011796622,0.00025889682996194097,0.00026619595874421975,0.00027349508752649854,0.0002807942163087773,0.0002880933450910561,0.0002953924738733349,0.0003026916026556137,0.00030999073143789246,0.00031728986022017125,0.00032458898900245003,0.0003318881177847288,0.0003391872465670076,0.0003464863753492864,0.0003537855041315652,0.00036108463291384396,0.00036838376169612275,0.00037568289047840153,0.0003829820192606803,0.0003902811480429591,0.0003975802768252379,0.0004048794056075167,0.00041217853438979546,0.00041947766317207424,0.00042677679195435303,0.0004340759207366318,0.0004413750495189106,0.0004486741783011894,0.00045597330708346817,0.00046327243586574696,0.00047057156464802574,0.00047787069343030453]}"
"208","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2,4,2,3,1,2,3,1,3,1,3,1,1,3,6,1,3,0,1,2,0,1,0,1,0,0,0,1,3,0,1,1,1,0,0,1,0,1],""bins"":[0.000020617246264009736,0.00002979880119369227,0.000038980356123374804,0.00004816191105305734,0.00005734346598273987,0.0000665250209124224,0.00007570657584210494,0.00008488813077178747,0.00009406968570147001,0.00010325124063115254,0.00011243279556083507,0.00012161435049051761,0.00013079590542020014,0.00013997746034988268,0.0001491590152795652,0.00015834057020924774,0.00016752212513893028,0.0001767036800686128,0.00018588523499829535,0.00019506678992797788,0.0002042483448576604,0.00021342989978734295,0.00022261145471702548,0.00023179300964670801,0.00024097456457639055,0.0002501561195060731,0.0002593376744357556,0.00026851922936543815,0.0002777007842951207,0.0002868823392248032,0.00029606389415448575,0.0003052454490841683,0.0003144270040138508,0.00032360855894353335,0.0003327901138732159,0.0003419716688028984,0.00035115322373258095,0.0003603347786622635,0.000369516333591946,0.00037869788852162856,0.0003878794434513111,0.0003970609983809936,0.00040624255331067616,0.0004154241082403587,0.0004246056631700412,0.00043378721809972376,0.0004429687730294063,0.0004521503279590888,0.00046133188288877136,0.0004705134378184539,0.00047969499274813643,0.000488876547677819,0.0004980581026075015,0.000507239657537184,0.0005164212124668666,0.0005256027673965491,0.0005347843223262316,0.0005439658772559142,0.0005531474321855967,0.0005623289871152792,0.0005715105420449618,0.0005806920969746443,0.0005898736519043268,0.0005990552068340094,0.0006082367617636919]}"
"209","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,2,1,1,0,3,1,1,3,2,3,2,2,3,4,4,3,3,2,1,2,2,2,0,0,2,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1],""bins"":[0.000033484695450169966,0.00004711858701966776,0.00006075247858916555,0.00007438637015866334,0.00008802026172816113,0.00010165415329765892,0.00011528804486715671,0.0001289219364366545,0.0001425558280061523,0.0001561897195756501,0.00016982361114514788,0.00018345750271464567,0.00019709139428414346,0.00021072528585364125,0.00022435917742313904,0.00023799306899263684,0.00025162696056213463,0.0002652608521316324,0.0002788947437011302,0.000292528635270628,0.0003061625268401258,0.0003197964184096236,0.0003334303099791214,0.00034706420154861917,0.00036069809311811696,0.00037433198468761475,0.00038796587625711254,0.00040159976782661033,0.0004152336593961081,0.0004288675509656059,0.0004425014425351037,0.0004561353341046015,0.0004697692256740993,0.0004834031172435971,0.0004970370088130949,0.0005106709003825927,0.0005243047919520905,0.0005379386835215882,0.000551572575091086,0.0005652064666605838,0.0005788403582300816,0.0005924742497995794,0.0006061081413690772,0.000619742032938575,0.0006333759245080728,0.0006470098160775706,0.0006606437076470684,0.0006742775992165662,0.000687911490786064,0.0007015453823555617,0.0007151792739250595,0.0007288131654945573,0.0007424470570640551,0.0007560809486335529,0.0007697148402030507,0.0007833487317725485,0.0007969826233420463,0.0008106165149115441,0.0008242504064810419,0.0008378842980505397,0.0008515181896200374,0.0008651520811895352,0.000878785972759033,0.0008924198643285308,0.0009060537558980286]}"
"210","{""values"":[1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,2,2,5,4,0,5,3,1,3,0,2,1,2,3,2,2,1,0,0,1,5,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.000023803710064385086,0.00003340626005865488,0.00004300881005292467,0.000052611360047194466,0.00006221391004146426,0.00007181646003573405,0.00008141901003000385,0.00009102156002427364,0.00010062411001854343,0.00011022666001281323,0.00011982921000708302,0.00012943176000135281,0.0001390343099956226,0.0001486368599898924,0.0001582394099841622,0.000167841959978432,0.00017744450997270178,0.00018704705996697157,0.00019664960996124137,0.00020625215995551116,0.00021585470994978095,0.00022545725994405075,0.00023505980993832054,0.00024466235993259033,0.00025426490992686013,0.0002638674599211299,0.0002734700099153997,0.0002830725599096695,0.0002926751099039393,0.0003022776598982091,0.0003118802098924789,0.0003214827598867487,0.0003310853098810185,0.00034068785987528827,0.00035029040986955806,0.00035989295986382785,0.00036949550985809765,0.00037909805985236744,0.00038870060984663724,0.00039830315984090703,0.0004079057098351768,0.0004175082598294466,0.0004271108098237164,0.0004367133598179862,0.000446315909812256,0.0004559184598065258,0.0004655210098007956,0.0004751235597950654,0.00048472610978933517,0.000494328659783605,0.0005039312097778748,0.0005135337597721445,0.0005231363097664143,0.0005327388597606841,0.0005423414097549539,0.0005519439597492237,0.0005615465097434935,0.0005711490597377633,0.0005807516097320331,0.0005903541597263029,0.0005999567097205727,0.0006095592597148425,0.0006191618097091123,0.0006287643597033821,0.0006383669096976519]}"
"211","{""values"":[1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,2,1,1,3,5,4,3,2,1,4,3,2,3,3,0,1,1,2,0,1,1,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.00001768231413734611,0.000027516409460304203,0.000037350504783262295,0.00004718460010622039,0.00005701869542917848,0.00006685279075213657,0.00007668688607509466,0.00008652098139805275,0.00009635507672101085,0.00010618917204396894,0.00011602326736692703,0.00012585736268988512,0.0001356914580128432,0.0001455255533358013,0.0001553596486587594,0.0001651937439817175,0.00017502783930467558,0.00018486193462763367,0.00019469602995059176,0.00020453012527354986,0.00021436422059650795,0.00022419831591946604,0.00023403241124242413,0.00024386650656538222,0.0002537006018883403,0.0002635346972112984,0.0002733687925342565,0.0002832028878572146,0.0002930369831801727,0.0003028710785031308,0.00031270517382608887,0.00032253926914904696,0.00033237336447200505,0.00034220745979496314,0.00035204155511792123,0.0003618756504408793,0.0003717097457638374,0.0003815438410867955,0.0003913779364097536,0.0004012120317327117,0.0004110461270556698,0.0004208802223786279,0.00043071431770158597,0.00044054841302454406,0.00045038250834750215,0.00046021660367046024,0.00047005069899341834,0.00047988479431637643,0.0004897188896393345,0.0004995529849622926,0.0005093870802852507,0.0005192211756082088,0.0005290552709311669,0.000538889366254125,0.0005487234615770831,0.0005585575569000412,0.0005683916522229993,0.0005782257475459573,0.0005880598428689154,0.0005978939381918735,0.0006077280335148316,0.0006175621288377897,0.0006273962241607478,0.0006372303194837059,0.000647064414806664]}"
"212","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,0,1,2,0,1,0,1,4,2,1,1,4,1,1,1,2,0,2,6,0,3,5,2,1,1,0,1,2,1,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,2],""bins"":[0.00003065586133743636,0.00004990410008076651,0.00006915233882409666,0.00008840057756742681,0.00010764881631075696,0.0001268970550540871,0.00014614529379741725,0.0001653935325407474,0.00018464177128407755,0.0002038900100274077,0.00022313824877073785,0.000242386487514068,0.00026163472625739814,0.0002808829650007283,0.00030013120374405844,0.0003193794424873886,0.00033862768123071874,0.0003578759199740489,0.00037712415871737903,0.0003963723974607092,0.00041562063620403933,0.0004348688749473695,0.0004541171136906996,0.0004733653524340298,0.0004926135911773599,0.0005118618299206901,0.0005311100686640202,0.0005503583074073504,0.0005696065461506805,0.0005888547848940107,0.0006081030236373408,0.000627351262380671,0.0006465995011240011,0.0006658477398673313,0.0006850959786106614,0.0007043442173539916,0.0007235924560973217,0.0007428406948406518,0.000762088933583982,0.0007813371723273121,0.0008005854110706423,0.0008198336498139724,0.0008390818885573026,0.0008583301273006327,0.0008775783660439629,0.000896826604787293,0.0009160748435306232,0.0009353230822739533,0.0009545713210172835,0.0009738195597606136,0.0009930677985039438,0.001012316037247274,0.001031564275990604,0.0010508125147339342,0.0010700607534772644,0.0010893089922205945,0.0011085572309639247,0.0011278054697072548,0.001147053708450585,0.0011663019471939151,0.0011855501859372453,0.0012047984246805754,0.0012240466634239056,0.0012432949021672357,0.0012625431409105659]}"
"213","{""values"":[1,0,0,1,2,1,0,1,0,1,1,0,2,2,3,3,2,4,1,1,2,4,4,5,1,2,1,3,0,2,2,2,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000023813247025827877,0.00004526208934407805,0.00006671093166232822,0.00008815977398057839,0.00010960861629882857,0.00013105745861707874,0.0001525063009353289,0.00017395514325357908,0.00019540398557182925,0.00021685282789007942,0.0002383016702083296,0.00025975051252657977,0.00028119935484482994,0.0003026481971630801,0.0003240970394813303,0.00034554588179958046,0.00036699472411783063,0.0003884435664360808,0.00040989240875433097,0.00043134125107258114,0.0004527900933908313,0.0004742389357090815,0.0004956877780273317,0.0005171366203455818,0.000538585462663832,0.0005600343049820822,0.0005814831473003323,0.0006029319896185825,0.0006243808319368327,0.0006458296742550829,0.000667278516573333,0.0006887273588915832,0.0007101762012098334,0.0007316250435280836,0.0007530738858463337,0.0007745227281645839,0.0007959715704828341,0.0008174204128010842,0.0008388692551193344,0.0008603180974375846,0.0008817669397558348,0.0009032157820740849,0.0009246646243923351,0.0009461134667105853,0.0009675623090288354,0.0009890111513470856,0.0010104599936653358,0.001031908835983586,0.0010533576783018361,0.0010748065206200863,0.0010962553629383365,0.0011177042052565866,0.0011391530475748368,0.001160601889893087,0.0011820507322113372,0.0012034995745295873,0.0012249484168478375,0.0012463972591660877,0.0012678461014843379,0.001289294943802588,0.0013107437861208382,0.0013321926284390884,0.0013536414707573385,0.0013750903130755887,0.0013965391553938389]}"
"214","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,2,1,0,3,3,2,1,3,0,3,3,4,4,3,2,2,0,2,1,0,0,1,3,2,0,1,2,2,0,1,0,0,1,1,0,1],""bins"":[0.000020051002138643526,0.000028658210254661753,0.00003726541837067998,0.00004587262648669821,0.00005447983460271644,0.00006308704271873466,0.00007169425083475289,0.00008030145895077112,0.00008890866706678935,0.00009751587518280758,0.0001061230832988258,0.00011473029141484403,0.00012333749953086226,0.0001319447076468805,0.00014055191576289872,0.00014915912387891694,0.00015776633199493517,0.0001663735401109534,0.00017498074822697163,0.00018358795634298986,0.00019219516445900808,0.0002008023725750263,0.00020940958069104454,0.00021801678880706277,0.000226623996923081,0.00023523120503909922,0.00024383841315511745,0.0002524456212711357,0.0002610528293871539,0.00026966003750317213,0.00027826724561919036,0.0002868744537352086,0.0002954816618512268,0.00030408886996724505,0.0003126960780832633,0.0003213032861992815,0.00032991049431529973,0.00033851770243131796,0.0003471249105473362,0.0003557321186633544,0.00036433932677937264,0.00037294653489539087,0.0003815537430114091,0.0003901609511274273,0.00039876815924344555,0.0004073753673594638,0.000415982575475482,0.00042458978359150024,0.00043319699170751846,0.0004418041998235367,0.0004504114079395549,0.00045901861605557315,0.0004676258241715914,0.0004762330322876096,0.00048484024040362783,0.0004934474485196461,0.0005020546566356643,0.0005106618647516825,0.0005192690728677007,0.000527876280983719,0.0005364834890997372,0.0005450906972157554,0.0005536979053317737,0.0005623051134477919,0.0005709123215638101]}"
"215","{""values"":[1,0,0,3,1,0,0,1,0,3,2,1,2,1,3,3,5,3,8,1,6,2,3,3,3,1,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000028302669306867756,0.00005406332988400209,0.00007982399046113642,0.00010558465103827075,0.00013134531161540508,0.0001571059721925394,0.00018286663276967374,0.00020862729334680807,0.0002343879539239424,0.00026014861450107674,0.00028590927507821107,0.0003116699356553454,0.00033743059623247973,0.00036319125680961406,0.0003889519173867484,0.0004147125779638827,0.00044047323854101705,0.0004662338991181514,0.0004919945596952857,0.00051775522027242,0.0005435158808495544,0.0005692765414266887,0.000595037202003823,0.0006207978625809574,0.0006465585231580917,0.000672319183735226,0.0006980798443123604,0.0007238405048894947,0.000749601165466629,0.0007753618260437634,0.0008011224866208977,0.000826883147198032,0.0008526438077751664,0.0008784044683523007,0.000904165128929435,0.0009299257895065693,0.0009556864500837037,0.000981447110660838,0.0010072077712379723,0.0010329684318151067,0.001058729092392241,0.0010844897529693753,0.0011102504135465097,0.001136011074123644,0.0011617717347007783,0.0011875323952779127,0.001213293055855047,0.0012390537164321813,0.0012648143770093156,0.00129057503758645,0.0013163356981635843,0.0013420963587407186,0.001367857019317853,0.0013936176798949873,0.0014193783404721216,0.001445139001049256,0.0014708996616263903,0.0014966603222035246,0.001522420982780659,0.0015481816433577933,0.0015739423039349276,0.001599702964512062,0.0016254636250891963,0.0016512242856663306,0.001676984946243465]}"
"216","{""values"":[1,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,2,1,1,1,0,2,3,1,3,2,2,4,2,3,0,1,4,2,3,0,2,2,4,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.000027163028789800592,0.000042139123905826636,0.00005711521902185268,0.00007209131413787873,0.00008706740925390477,0.00010204350436993082,0.00011701959948595686,0.0001319956946019829,0.00014697178971800895,0.000161947884834035,0.00017692397995006104,0.00019190007506608708,0.00020687617018211313,0.00022185226529813917,0.00023682836041416522,0.00025180445553019126,0.0002667805506462173,0.00028175664576224335,0.0002967327408782694,0.00031170883599429544,0.0003266849311103215,0.00034166102622634753,0.0003566371213423736,0.0003716132164583996,0.00038658931157442566,0.0004015654066904517,0.00041654150180647775,0.0004315175969225038,0.00044649369203852984,0.0004614697871545559,0.00047644588227058193,0.000491421977386608,0.000506398072502634,0.0005213741676186601,0.0005363502627346861,0.0005513263578507122,0.0005663024529667382,0.0005812785480827642,0.0005962546431987903,0.0006112307383148163,0.0006262068334308424,0.0006411829285468684,0.0006561590236628945,0.0006711351187789205,0.0006861112138949466,0.0007010873090109726,0.0007160634041269986,0.0007310394992430247,0.0007460155943590507,0.0007609916894750768,0.0007759677845911028,0.0007909438797071289,0.0008059199748231549,0.000820896069939181,0.000835872165055207,0.000850848260171233,0.0008658243552872591,0.0008808004504032851,0.0008957765455193112,0.0009107526406353372,0.0009257287357513633,0.0009407048308673893,0.0009556809259834154,0.0009706570210994414,0.0009856331162154675]}"
"217","{""values"":[1,0,0,0,0,0,3,0,1,0,0,0,0,1,2,1,0,0,0,1,1,2,0,2,2,1,4,4,2,3,2,0,2,2,2,1,3,1,2,1,1,2,1,2,0,1,1,2,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,1],""_type"":""histogram"",""bins"":[0.000015858411643421277,0.000025988518757458223,0.00003611862587149517,0.000046248732985532115,0.00005637884009956906,0.000066508947213606,0.00007663905432764295,0.0000867691614416799,0.00009689926855571684,0.00010702937566975379,0.00011715948278379074,0.00012728958989782768,0.00013741969701186463,0.00014754980412590157,0.00015767991123993852,0.00016781001835397547,0.0001779401254680124,0.00018807023258204936,0.0001982003396960863,0.00020833044681012325,0.0002184605539241602,0.00022859066103819714,0.00023872076815223409,0.00024885087526627103,0.000258980982380308,0.0002691110894943449,0.00027924119660838187,0.0002893713037224188,0.00029950141083645576,0.0003096315179504927,0.00031976162506452965,0.0003298917321785666,0.00034002183929260354,0.0003501519464066405,0.00036028205352067744,0.0003704121606347144,0.00038054226774875133,0.0003906723748627883,0.0004008024819768252,0.00041093258909086217,0.0004210626962048991,0.00043119280331893606,0.000441322910432973,0.00045145301754700995,0.0004615831246610469,0.00047171323177508384,0.0004818433388891208,0.0004919734460031577,0.0005021035531171947,0.0005122336602312316,0.0005223637673452686,0.0005324938744593055,0.0005426239815733425,0.0005527540886873794,0.0005628841958014164,0.0005730143029154533,0.0005831444100294902,0.0005932745171435272,0.0006034046242575641,0.0006135347313716011,0.000623664838485638,0.000633794945599675,0.0006439250527137119,0.0006540551598277489,0.0006641852669417858]}"
